assessment_id,student_id,topic_id,attempt_date,score
1,1,1,2026-07-01 07:10:11.477279,27.27272727272727
2,1,2,2026-07-01 18:32:41.558137,36.36363636363637
3,1,2,2026-07-01 18:34:09.752889,0.0
4,1,2,2026-07-09 15:20:12.356219,33.33333333333333
5,1,1,2026-07-09 15:20:12.417318,0.0
6,1,2,2026-07-09 15:21:19.203545,66.66666666666666
7,1,1,2026-07-09 15:21:19.246275,0.0
8,1,1,2026-07-09 15:47:40.757184,0.0
9,1,2,2026-07-09 15:47:40.836957,33.33333333333333
10,1,34,2026-07-09 15:56:53.926415,50.0
11,1,35,2026-07-09 15:56:53.999605,0.0
12,1,34,2026-07-09 16:05:45.274575,0.0
13,1,35,2026-07-09 16:05:45.340402,0.0
14,1,34,2026-07-09 16:09:42.686655,0.0
15,1,35,2026-07-09 16:09:42.733470,75.0
16,1,32,2026-07-09 16:35:02.136310,66.66666666666666
17,1,30,2026-07-09 16:38:19.712916,66.66666666666666
18,1,33,2026-07-09 16:38:19.792744,75.0
19,1,31,2026-07-09 16:38:19.826091,50.0
20,1,4,2026-07-09 17:15:39.790500,0.0
21,1,6,2026-07-09 17:15:39.864985,50.0
22,1,37,2026-07-09 17:22:10.371220,25.0
23,1,35,2026-07-09 17:22:10.411916,0.0
